nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G5095	G5095 Τιμόθεος [Timotheos]; rzeczownik						
G5096	G5096 Τίμων [Timōn]; rzeczownik						
G5097	G5097 τιμωρέω [timōreō]; czasownik						
G5098	G5098 τιμωρία [timōria]; rzeczownik						
G5099	G5099 τίνω [tinō]; czasownik						
G5100	G5100 τίς [tis]; zaimek						
G5101	G5101 τίς [tis]; zaimek						
G5102	G5102 τίτλος [titlos]; rzeczownik						
G5103	G5103 Τίτος [Titos]; rzeczownik						
G5104	G5104 τοί [toi]; partykuła						
G5105	G5105 τοιγαροῦν [toigarun]; partykuła						
G5106	G5106 τοίνυν [toinyn]; partykuła						
G5107	G5107 τοιόσδε [toiosde]; zaimek						
G5108	G5108 τοιοῦτος [toiutos]; zaimek						
G5109	G5109 τοῖχος [toichos]; rzeczownik						
G5110	G5110 τόκος [tokos]; rzeczownik						
G5111	G5111 τολμάω [tolmaō]; czasownik						
G5112	G5112 τολμηρότερον [tolmēros]; przysłówek						
G5113	G5113 τολμητής [tolmētēs]; rzeczownik						
G5114	G5114 τομώτερος [tomos]; przymiotnik						
G5115	G5115 τόξον [toxon]; rzeczownik						
G5116	G5116 τοπάζιον [topadzion]; rzeczownik						
G5117	G5117 τόπος [topos]; rzeczownik						
G5118	G5118 τοσοῦτος [tosutos]; zaimek						
G5119	G5119 τότε [tote]; przysłówek						
G5120	G5120 τοῦ [tu]; rzeczownik						
G5121	G5121 τοὐναντίον [tunantion]; przysłówek						
G5122	G5122 τοὔνομα [tunoma]; przysłówek						
G5123	G5123 τουτέστι [tut']; czasownik						
G5124	G5124 τοῦτο [tuto]; zaimek						
G5125	G5125 τούτοις [tutois]; zaimek						
G5126	G5126 τοῦτον [tuton]; zaimek						
G5127	G5127 τούτου [tutu]; zaimek						
G5128	G5128 τούτους [tutus]; zaimek						
G5129	G5129 τούτῳ [tutō]; zaimek						
G5130	G5130 τούτων [tutōn]; zaimek						
G5131	G5131 τράγος [tragos]; rzeczownik						
G5132	G5132 τράπεζα [trapedza]; rzeczownik						
G5133	G5133 τραπεζίτης [trapedzitēs]; rzeczownik						
G5134	G5134 τραύμα [trauma]; rzeczownik						
G5135	G5135 τραυματίζω [traumatidzō]; czasownik						
G5136	G5136 τραχηλίζω [trachēlidzō]; czasownik						
G5137	G5137 τράχηλος [trachēlos]; rzeczownik						
G5138	G5138 τραχύς [trachys]; przymiotnik						
G5139	G5139 Τραχωνῖτις [Trachōnitis]; rzeczownik						
G5140	G5140 τρεῖς [treis]; rzeczownik						
G5141	G5141 τρέμω [tremō]; czasownik						
G5142	G5142 τρέφω [trefō]; czasownik						
G5143	G5143 τρέχω [trechō]; czasownik						
G5144	G5144 τριάκοντα [triakonta]; rzeczownik						
G5145	G5145 τριακόσιοι [triakosioi]; rzeczownik						
G5146	G5146 τρίβολος [tribolos]; rzeczownik						
G5147	G5147 τρίβος [tribos]; rzeczownik						
G5148	G5148 τριετία [trietia]; rzeczownik						
G5149	G5149 τρίζω [tridzō]; czasownik						
G5150	G5150 τρίμηνον [trimēnos]; przymiotnik						
G5151	G5151 τρίς [tris]; przysłówek						
G5152	G5152 τρίστεγον [tristegon]; rzeczownik						
G5153	G5153 τρισχίλιοι [trischilioi]; rzeczownik						
G5154	G5154 τρίτος [tritos]; przymiotnik						
G5155	G5155 τρίχινος [trichinos]; przymiotnik						
G5156	G5156 τρόμος [tromos]; rzeczownik						
G5157	G5157 τροπή [tropē]; rzeczownik						
G5158	G5158 τρόπος [tropos]; rzeczownik						
G5159	G5159 τροποφορέω [tropoforeō]; czasownik						
G5160	G5160 τροφή [trofē]; rzeczownik						
G5161	G5161 Τρόφιμος [Trofimos]; rzeczownik						
G5162	G5162 τροφός [trofos]; rzeczownik						
G5163	G5163 τροχιά [trochia]; rzeczownik						
G5164	G5164 τροχός [trochos]; rzeczownik						
G5165	G5165 τρύβλιον [tryblion]; rzeczownik						
G5166	G5166 τρυγάω [trygaō]; czasownik						
G5167	G5167 τρυγών [trygōn]; rzeczownik						
G5168	G5168 τρυμαλιά [trymalia]; rzeczownik						
G5169	G5169 τρύπημα [trypēma]; rzeczownik						
G5170	G5170 Τρύφαινα [Tryfaina]; rzeczownik						
G5171	G5171 τρυφάω [tryfaō]; czasownik						
G5172	G5172 τρυφή [tryfē]; rzeczownik						
G5173	G5173 Τρυφῶσα [Tryfōsa]; rzeczownik						
G5174	G5174 Τρωάς [Trōas]; rzeczownik						
G5175	G5175 Τρωγύλλιον [Trōgyllion]; rzeczownik						
G5176	G5176 τρώγω [trōgō]; czasownik						
G5177	G5177 τυγχάνω [tygchanō]; czasownik						
G5178	G5178 τυμπανίζω [tympanidzō]; czasownik						
G5179	G5179 τύπος [typos]; rzeczownik						
G5180	G5180 τύπτω [typtō]; czasownik						
G5181	G5181 Τύραννος [Tyrannos]; rzeczownik						
G5182	G5182 τυρβάζω [thorybadzō]; czasownik						
G5183	G5183 Τύριος [Tyrios]; rzeczownik						
G5184	G5184 Τύρος [Tyros]; rzeczownik						
G5185	G5185 τυφλός [tyflos]; przymiotnik						
G5186	G5186 τυφλόω [tyfloō]; czasownik						
G5187	G5187 τυφόω [tyfoō]; czasownik						
G5188	G5188 τύφω [tyfō]; czasownik						
G5189	G5189 τυφωνικός [tyfōnikos]; przymiotnik						
G5190	G5190 Τυχικός [Tychikos]; rzeczownik						
G5191	G5191 ὑακίνθινος [hyakinthinos]; przymiotnik						
G5192	G5192 ὑάκινθος [hyakinthos]; rzeczownik						
G5193	G5193 ὑάλινος [hyalinos]; przymiotnik						
G5194	G5194 ὕαλος [hyalos]; rzeczownik						
G5195	G5195 ὑβρίζω [hybridzō]; czasownik						
G5196	G5196 ὕβρις [hybris]; rzeczownik						
G5197	G5197 ὑβριστής [hybristēs]; rzeczownik						
G5198	G5198 ὑγιαίνω [hygiainō]; czasownik						
G5199	G5199 ὑγιής [hygiēs]; przymiotnik						
G5200	G5200 ὑγρός [hygros]; przymiotnik						
G5201	G5201 ὑδριά [hydria]; rzeczownik						
G5202	G5202 ὑδροποτέω [hydropoteō]; czasownik						
G5203	G5203 ὑδρωπικός [hydrōpikos]; przymiotnik						
G5204	G5204 ὕδωρ [hydōr]; rzeczownik						
G5205	G5205 ὑετός [hyetos]; rzeczownik						
G5206	G5206 υἱοθεσία [huiothesia]; rzeczownik						
G5207	G5207 υἱός [huios]; rzeczownik						
G5208	G5208 ὕλή [hylē]; rzeczownik						
G5209	G5209 ὑμᾶς [hymas]; zaimek						
G5210	G5210 ὑμεῖς [hymeis]; zaimek						
G5211	G5211 Ὑμεναῖος [Hymenaios]; rzeczownik						
G5212	G5212 ὑμέτερος [hymeteros]; zaimek						
G5213	G5213 ὑμῖν [hymin]; zaimek						
G5214	G5214 ὑμνέω [hymneō]; czasownik						
G5215	G5215 ὕμνος [hymnos]; rzeczownik						
G5216	G5216 ὑμῶν [hymōn]; zaimek						
G5217	G5217 ὑπάγω [hypagō]; czasownik						
G5218	G5218 ὑπακοή [hypakoē]; rzeczownik						
G5219	G5219 ὑπακούω [hypakuō]; czasownik						
G5220	G5220 ὕπανδρος [hypandros]; przymiotnik						
G5221	G5221 ὑπαντάω [hypantaō]; czasownik						
G5222	G5222 ὑπάντησις [hypantēsis]; rzeczownik						
G5223	G5223 ὕπαρξις [hyparxis]; rzeczownik						
G5224	G5224 ὑπάρχοντα [hyparchonta]; czasownik						
G5225	G5225 ὑπάρχω [hyparchō]; czasownik						
G5226	G5226 ὑπείκω [hypeikō]; czasownik						
G5227	G5227 ὑπεναντίος [hypenantios]; przymiotnik						
G5228	G5228 ὑπέρ [hyper]; przyimek						
G5229	G5229 ὑπεραίρομαι [hyperairō]; czasownik						
G5230	G5230 ὑπέρακμος [hyperakmos]; przymiotnik						
G5231	G5231 ὑπεράνω [hyperanō]; przysłówek						
G5232	G5232 ὑπεραυξάνω [hyperauxanō]; czasownik						
G5233	G5233 ὑπερβαίνω [hyperbainō]; czasownik						
G5234	G5234 ὑπερβαλλόντως [hyperballontōs]; przysłówek						
G5235	G5235 ὑπερβάλλω [hyperballō]; czasownik						
G5236	G5236 ὑπερβολή [hyperbolē]; rzeczownik						
G5237	G5237 ὑπερείδω [hyperoraō]; czasownik						
G5238	G5238 ὑπερέκεινα [hyperekeina]; przysłówek						
G5239	G5239 ὑπερεκτείνω [hyperekteinō]; czasownik						
G5240	G5240 ὑπερεκχύνω [hyperekchyn(n)ō]; czasownik						
G5241	G5241 ὑπερεντυγχάνω [hyperentygchanō]; czasownik						
G5242	G5242 ὑπερέχω [hyperechō]; czasownik						
G5243	G5243 ὑπερηφανία [hyperēfania]; rzeczownik						
G5244	G5244 ὑπερήφανος [hyperēfanos]; przymiotnik						
G5245	G5245 ὑπερνικάω [hypernikaō]; czasownik						
G5246	G5246 ὑπέρογκος [hyperonkos]; przymiotnik						
G5247	G5247 ὑπεροχή [hyperochē]; rzeczownik						
G5248	G5248 ὑπερπερισσεύω [hyperperisseuō]; czasownik						
G5249	G5249 ὑπερπερισσῶς [hyperperissōs]; przysłówek						
G5250	G5250 ὑπερπλεονάζω [hyperpleonadzō]; czasownik						
G5251	G5251 ὑπερυψόω [hyperypsoō]; czasownik						
G5252	G5252 ὑπερφρονέω [hyperfroneō]; czasownik						
G5253	G5253 ὑπερῷον [hyperōon]; rzeczownik						
G5254	G5254 ὑπέχω [hypechō]; czasownik						
G5255	G5255 ὑπήκοος [hypēkoos]; przymiotnik						
G5256	G5256 ὑπηρετέω [hypēreteō]; czasownik						
G5257	G5257 ὑπηρέτης [hypēretēs]; rzeczownik						
G5258	G5258 ὕπνος [hypnos]; rzeczownik						
G5259	G5259 ὑπό [hypo]; przyimek						
G5260	G5260 ὑποβάλλω [hypoballō]; czasownik						
G5261	G5261 ὑπογραμμός [hypogrammos]; rzeczownik						
G5262	G5262 ὑπόδειγμα [hypodeigma]; rzeczownik						
G5263	G5263 ὑποδείκνυμι [hypodeiknymi]; czasownik						
G5264	G5264 ὑποδέχομαι [hypodechomai]; czasownik						
G5265	G5265 ὑποδέω [hypodeō]; czasownik						
G5266	G5266 ὑπόδημα [hypodēma]; rzeczownik						
G5267	G5267 ὑπόδικος [hypodikos]; przymiotnik						
G5268	G5268 ὑποζύγιον [hypodzygion]; rzeczownik						
G5269	G5269 ὑποζώννυμι [hypodzōnnymi]; czasownik						
G5270	G5270 ὑποκάτω [hypokatō]; przysłówek						
G5271	G5271 ὑποκρίνομαι [hypokrinomai]; czasownik						
G5272	G5272 ὑπόκρισις [hypokrisis]; rzeczownik						
G5273	G5273 ὑποκριτής [hypokritēs]; rzeczownik						
G5274	G5274 ὑπολαμβάνω [hypolambanō]; czasownik						
G5275	G5275 ὑπολείπω [hypoleipō]; czasownik						
G5276	G5276 ὑπολήνιον [hypolēnion]; rzeczownik						
G5277	G5277 ὑπολιμπάνω [hypolimpanō]; czasownik						
G5278	G5278 ὑπομένω [hypomenō]; czasownik						
G5279	G5279 ὑπομιμνήσκω [hypomimnēskō]; czasownik						
G5280	G5280 ὑπόμνησις [hypomnēsis]; rzeczownik						
G5281	G5281 ὑπομονή [hypomonē]; rzeczownik						
G5282	G5282 ὑπονοέω [hyponoeō]; czasownik						
G5283	G5283 ὑπόνοια [hyponoia]; rzeczownik						
G5284	G5284 ὑποπλέω [hypopleō]; czasownik						
G5285	G5285 ὑποπνέω [hypopneō]; czasownik						
G5286	G5286 ὑποπόδιον [hypopodion]; rzeczownik						
G5287	G5287 ὑπόστασις [hypostasis]; rzeczownik						
G5288	G5288 ὑποστέλλω [hypostellō]; czasownik						
G5289	G5289 ὑποστολή [hypostolē]; rzeczownik						
G5290	G5290 ὑποστρέφω [hypostrefō]; czasownik						
G5291	G5291 ὑποστρώννυμι [hypostrōnnyō]; czasownik						
G5292	G5292 ὑποταγή [hypotagē]; rzeczownik						
G5293	G5293 ὑποτάσσω [hypotassō]; czasownik						
G5294	G5294 ὑποτίθημι [hypotithēmi]; czasownik						
G5295	G5295 ὑποτρέχω [hypotrechō]; czasownik						
G5296	G5296 ὑποτύπωσις [hypotypōsis]; rzeczownik						
G5297	G5297 ὑποφέρω [hypoferō]; czasownik						
G5298	G5298 ὑποχωρέω [hypochōreō]; czasownik						
G5299	G5299 ὑπωπιάζω [hypōpiadzō]; czasownik						
G5300	G5300 ὗς [hys]; rzeczownik						
G5301	G5301 ὕσσωπος [hyssōpos]; rzeczownik						
G5302	G5302 ὑστερέω [hystereō]; czasownik						
G5303	G5303 ὑστέρημα [hysterēma]; rzeczownik						
G5304	G5304 ὑστέρησις [hysterēsis]; rzeczownik						
G5305	G5305 ὕστερον [hysteros]; przysłówek						
G5306	G5306 ὕστερος [hysteros]; przymiotnik						
G5307	G5307 ὑφαντός [hyfantos]; przymiotnik						
G5308	G5308 ὑψηλός [hypsēlos]; przymiotnik						
G5309	G5309 ὑψηλοφρονέω [hypsēlofroneō]; czasownik						
G5310	G5310 ὕψιστος [hypsistos]; przymiotnik						
G5311	G5311 ὕψος [hypsos]; rzeczownik						
G5312	G5312 ὑψόω [hypsoō]; czasownik						
G5313	G5313 ὕψωμα [hypsōma]; rzeczownik						
G5314	G5314 φάγος [fagos]; rzeczownik						
G5315	G5315 φάγω [fago]; czasownik						
G5316	G5316 φαίνω [fainō]; czasownik						
G5317	G5317 Φάλεκ [falek]; rzeczownik						
G5318	G5318 φανερός [faneros]; przymiotnik						
G5319	G5319 φανερόω [faneroō]; czasownik						
G5320	G5320 φανερῶς [fanerōs]; przysłówek						
G5321	G5321 φανέρωσις [fanerōsis]; rzeczownik						
G5322	G5322 φανός [fanos]; rzeczownik						
G5323	G5323 Φανουήλ [fanuēl]; rzeczownik						
G5324	G5324 φαντάζω [fantadzō]; czasownik						
G5325	G5325 φαντασία [fantasia]; rzeczownik						
G5326	G5326 φάντασμα [fantasma]; rzeczownik						
G5327	G5327 φάραγξ [faragx]; rzeczownik						
G5328	G5328 Φαραώ [faraō]; rzeczownik						
G5329	G5329 Φαρές [fares]; rzeczownik						
G5330	G5330 Φαρισαῖος [farisaios]; rzeczownik						
G5331	G5331 φαρμακεία [farmakeia]; rzeczownik						
G5332	G5332 φαρμακεύς [farmakeus]; rzeczownik						
G5333	G5333 φαρμακός [farmakos]; rzeczownik						
G5334	G5334 φάσις [fasis]; rzeczownik						
G5335	G5335 φάσκω [faskō]; czasownik						
G5336	G5336 φάτνη [fatnē]; rzeczownik						
G5337	G5337 φαῦλος [faulos]; przymiotnik						
G5338	G5338 φέγγος [fengos]; rzeczownik						
G5339	G5339 φείδομαι [feidomai]; czasownik						
G5340	G5340 φειδομένως [feidomenōs]; przysłówek						
G5341	G5341 φελόνης [failonēs]; rzeczownik						
G5342	G5342 φέρω [ferō]; czasownik						
G5343	G5343 φεύγω [feugō]; czasownik						
G5344	G5344 Φῆλιξ [fēlix]; rzeczownik						
G5345	G5345 φήμη [fēmē]; rzeczownik						
G5346	G5346 φημί [fēmi]; czasownik						
G5347	G5347 Φῆστος [fēstos]; rzeczownik						
G5348	G5348 φθάνω [fthanō]; czasownik						
G5349	G5349 φθαρτός [fthartos]; przymiotnik						
G5350	G5350 φθέγγομαι [fthengomai]; czasownik						
G5351	G5351 φθείρω [ftheirō]; czasownik						
G5352	G5352 φθινοπωρινός [fthinopōrinos]; przymiotnik						
G5353	G5353 φθόγγος [fthongos]; rzeczownik						
G5354	G5354 φθονέω [fthoneō]; czasownik						
G5355	G5355 φθόνος [fthonos]; rzeczownik						
G5356	G5356 φθορά [fthora]; rzeczownik						
G5357	G5357 φιάλη [fialē]; rzeczownik						
G5358	G5358 φιλάγαθος [filagathos]; przymiotnik						
G5359	G5359 Φιλαδέλφεια [filadelfeia]; rzeczownik						
G5360	G5360 φιλαδελφία [filadelfia]; rzeczownik						
G5361	G5361 φιλάδελφος [filadelfos]; przymiotnik						
G5362	G5362 φίλανδρος [filandros]; rzeczownik						
G5363	G5363 φιλανθρωπία [filanthrōpia]; rzeczownik						
G5364	G5364 φιλανθρώπως [filanthrōpōs]; przysłówek						
G5365	G5365 φιλαργυρία [filargyria]; rzeczownik						
G5366	G5366 φιλάργυρος [filargyros]; przymiotnik						
G5367	G5367 φίλαυτος [filautos]; przymiotnik						
G5368	G5368 φιλέω [fileō]; czasownik						
G5369	G5369 φιλήδονος [filēdonos]; przymiotnik						
G5370	G5370 φίλημα [filēma]; rzeczownik						
G5371	G5371 Φιλήμων [filēmōn]; rzeczownik						
G5372	G5372 Φιλητός [filētos]; rzeczownik						
G5373	G5373 φιλία [filia]; rzeczownik						
G5374	G5374 Φιλιππήσιος [filippēsios]; rzeczownik						
G5375	G5375 Φίλιπποι [filippoi]; rzeczownik						
G5376	G5376 Φίλιππος [filippos]; rzeczownik						
G5377	G5377 φιλόθεος [filotheos]; przymiotnik						
G5378	G5378 Φιλόλογος [filologos]; rzeczownik						
G5379	G5379 φιλονεικία [filoneikia]; rzeczownik						
G5380	G5380 φιλόνεικος [filoneikos]; przymiotnik						
G5381	G5381 φιλονεξία [filoxenia]; rzeczownik						
G5382	G5382 φιλόξενος [filoxenos]; przymiotnik						
